full_name,email,role,department,office
Thabo Mthembu,thabo.mthembu@voltcore.co.za,employee,Executive,durban
Lindiwe Naidoo,lindiwe.naidoo@voltcore.co.za,employee,Executive,durban
Michael Daniels,michael.daniels@voltcore.co.za,employee,Executive,durban
Ayanda Zulu,ayanda.zulu@voltcore.co.za,employee,Executive,durban
Nokuthula Khumalo,nokuthula.khumalo@voltcore.co.za,employee,Executive,durban
Sipho Nkosi,sipho.nkosi@voltcore.co.za,employee,Finance,durban
Nomusa Dlamini,nomusa.dlamini@voltcore.co.za,employee,Finance,durban
Sibusiso Mthethwa,sibusiso.mthethwa@voltcore.co.za,employee,Finance,durban
Andile Molefe,andile.molefe@voltcore.co.za,employee,Finance,durban
Precious Gumede,precious.gumede@voltcore.co.za,employee,Finance,durban
Themba Nene,themba.nene@voltcore.co.za,employee,Finance,durban
Zanele Pillay,zanele.pillay@voltcore.co.za,employee,Finance,durban
Kevin Naicker,kevin.naicker@voltcore.co.za,employee,Finance,durban
Nandi Mabaso,nandi.mabaso@voltcore.co.za,employee,HR,durban
Lebo Khuzwayo,lebo.khuzwayo@voltcore.co.za,employee,HR,durban
Sanele Hadebe,sanele.hadebe@voltcore.co.za,employee,HR,durban
Amanda Jacobs,amanda.jacobs@voltcore.co.za,employee,HR,durban
Bongani Sibiya,bongani.sibiya@voltcore.co.za,employee,HR,durban
Ryan Peters,ryan.peters@voltcore.co.za,agent,IT,durban
Khulekani Mkhize,khulekani.mkhize@voltcore.co.za,agent,IT,durban
Jason Fourie,jason.fourie@voltcore.co.za,agent,IT,durban
Musa Madondo,musa.madondo@voltcore.co.za,agent,IT,durban
Sarah Visser,sarah.visser@voltcore.co.za,agent,IT,johannesburg
Daniel Smith,daniel.smith@voltcore.co.za,agent,IT,johannesburg
Brian VanWyk,brian.vanwyk@voltcore.co.za,agent,IT,johannesburg
Ntokozo Zondi,ntokozo.zondi@voltcore.co.za,employee,Electrical_Engineering,durban
Sandile Mnguni,sandile.mnguni@voltcore.co.za,employee,Electrical_Engineering,durban
Gareth Brown,gareth.brown@voltcore.co.za,employee,Electrical_Engineering,durban
Clinton Kruger,clinton.kruger@voltcore.co.za,employee,Electrical_Engineering,durban
Nkosinathi Hlongwane,nkosinathi.hlongwane@voltcore.co.za,employee,Electrical_Engineering,durban
Bhekizizwe Shabalala,bhekizizwe.shabalala@voltcore.co.za,employee,Electrical_Engineering,durban
Vusi Ndlovu,vusi.ndlovu@voltcore.co.za,employee,Electrical_Engineering,durban
Siyabonga Mthembu,siyabonga.mthembu@voltcore.co.za,employee,Electrical_Engineering,durban
Kagiso Moloi,kagiso.moloi@voltcore.co.za,employee,Electrical_Engineering,durban
Faith Ngubane,faith.ngubane@voltcore.co.za,employee,Electrical_Engineering,durban
Peter Hendricks,peter.hendricks@voltcore.co.za,employee,Electrical_Engineering,durban
John Meyer,john.meyer@voltcore.co.za,employee,Electrical_Engineering,durban
Pieter Steyn,pieter.steyn@voltcore.co.za,employee,Electrical_Engineering,durban
Aphiwe Buthelezi,aphiwe.buthelezi@voltcore.co.za,employee,Electrical_Engineering,durban
Nhlanhla Gwala,nhlanhla.gwala@voltcore.co.za,employee,Electrical_Engineering,durban
Luyanda Mahlangu,luyanda.mahlangu@voltcore.co.za,employee,Electrical_Engineering,durban
Mbali Khoza,mbali.khoza@voltcore.co.za,employee,Electrical_Engineering,durban
Johan Coetzee,johan.coetzee@voltcore.co.za,employee,Electrical_Engineering,durban
Andre Botha,andre.botha@voltcore.co.za,employee,Electrical_Engineering,durban
Yolanda Chetty,yolanda.chetty@voltcore.co.za,employee,Electrical_Engineering,durban
Keegan Naidoo,keegan.naidoo@voltcore.co.za,employee,Industrial_Automation,durban
Lindokuhle Sithole,lindokuhle.sithole@voltcore.co.za,employee,Industrial_Automation,durban
Mpho Radebe,mpho.radebe@voltcore.co.za,employee,Industrial_Automation,durban
Brandon Joseph,brandon.joseph@voltcore.co.za,employee,Industrial_Automation,durban
Yusuf Khan,yusuf.khan@voltcore.co.za,employee,Industrial_Automation,durban
Zama Ncube,zama.ncube@voltcore.co.za,employee,Industrial_Automation,durban
Reece Govender,reece.govender@voltcore.co.za,employee,Industrial_Automation,durban
Kamohelo Selepe,kamohelo.selepe@voltcore.co.za,employee,Industrial_Automation,durban
Tumi Makgoba,tumi.makgoba@voltcore.co.za,employee,Industrial_Automation,durban
Ian Roberts,ian.roberts@voltcore.co.za,employee,Industrial_Automation,johannesburg
Warren Evans,warren.evans@voltcore.co.za,employee,Industrial_Automation,johannesburg
Tshepo Mokoena,tshepo.mokoena@voltcore.co.za,employee,Industrial_Automation,johannesburg
Neo Masango,neo.masango@voltcore.co.za,employee,Industrial_Automation,johannesburg
Kabelo Motloung,kabelo.motloung@voltcore.co.za,employee,Industrial_Automation,johannesburg
Rethabile Mahlatsi,rethabile.mahlatsi@voltcore.co.za,employee,Industrial_Automation,johannesburg
Patrick Mabena,patrick.mabena@voltcore.co.za,employee,Field_Operations,johannesburg
Collen Ngwenya,collen.ngwenya@voltcore.co.za,employee,Field_Operations,johannesburg
Jabulani Maseko,jabulani.maseko@voltcore.co.za,employee,Field_Operations,johannesburg
Mandla Mathebula,mandla.mathebula@voltcore.co.za,employee,Field_Operations,johannesburg
Gift Mashaba,gift.mashaba@voltcore.co.za,employee,Field_Operations,johannesburg
Elvis Maluleke,elvis.maluleke@voltcore.co.za,employee,Field_Operations,johannesburg
Simon Makhubela,simon.makhubela@voltcore.co.za,employee,Field_Operations,johannesburg
Justice Ramaphosa,justice.ramaphosa@voltcore.co.za,employee,Field_Operations,johannesburg
Lucky Moloto,lucky.moloto@voltcore.co.za,employee,Field_Operations,johannesburg
Chris Modise,chris.modise@voltcore.co.za,employee,Field_Operations,johannesburg
Lauren Prinsloo,lauren.prinsloo@voltcore.co.za,employee,Sales,durban
Megan Reddy,megan.reddy@voltcore.co.za,employee,Sales,durban
Shaun Hansen,shaun.hansen@voltcore.co.za,employee,Sales,durban
Candice Abrahams,candice.abrahams@voltcore.co.za,employee,Sales,durban
Jared Lewis,jared.lewis@voltcore.co.za,employee,Sales,durban
Alicia Arendse,alicia.arendse@voltcore.co.za,employee,Sales,durban
Matthew Wilson,matthew.wilson@voltcore.co.za,employee,Sales,johannesburg
Chantel Stevens,chantel.stevens@voltcore.co.za,employee,Sales,johannesburg
Grant Marshall,grant.marshall@voltcore.co.za,employee,Sales,johannesburg
Kimberly Adams,kimberly.adams@voltcore.co.za,employee,Sales,johannesburg
